,GEO.id,GEO.id2,GEO.display-label,HD01_VD01,year
221,0500000US06071,6071,"San Bernardino County, California",2005287,2010
222,0500000US06073,6073,"San Diego County, California",3022468,2010
223,0500000US06075,6075,"San Francisco County, California",789172,2010
224,0500000US06077,6077,"San Joaquin County, California",673613,2010
225,0500000US06079,6079,"San Luis Obispo County, California",265577,2010
226,0500000US06081,6081,"San Mateo County, California",704327,2010
227,0500000US06083,6083,"Santa Barbara County, California",416051,2010
228,0500000US06085,6085,"Santa Clara County, California",1739396,2010
229,0500000US06087,6087,"Santa Cruz County, California",256901,2010
230,0500000US06089,6089,"Shasta County, California",176906,2010
231,0500000US06091,6091,"Sierra County, California",3366,2010
232,0500000US06093,6093,"Siskiyou County, California",44690,2010
233,0500000US06095,6095,"Solano County, California",410042,2010
234,0500000US06097,6097,"Sonoma County, California",474047,2010
235,0500000US06099,6099,"Stanislaus County, California",509682,2010
236,0500000US06101,6101,"Sutter County, California",93420,2010
237,0500000US06103,6103,"Tehama County, California",62575,2010
238,0500000US06105,6105,"Trinity County, California",13701,2010
239,0500000US06107,6107,"Tulare County, California",429404,2010
240,0500000US06109,6109,"Tuolumne County, California",56074,2010
241,0500000US06111,6111,"Ventura County, California",809080,2010
242,0500000US06113,6113,"Yolo County, California",196418,2010
243,0500000US06115,6115,"Yuba County, California",71160,2010
244,0500000US08001,8001,"Adams County, Colorado",425330,2010
245,0500000US08003,8003,"Alamosa County, Colorado",15293,2010
246,0500000US08005,8005,"Arapahoe County, Colorado",552860,2010
247,0500000US08007,8007,"Archuleta County, Colorado",12136,2010
248,0500000US08009,8009,"Baca County, Colorado",3833,2010
249,0500000US08011,8011,"Bent County, Colorado",6125,2010
250,0500000US08013,8013,"Boulder County, Colorado",290177,2010
251,0500000US08014,8014,"Broomfield County, Colorado",52872,2010
252,0500000US08015,8015,"Chaffee County, Colorado",17540,2010
253,0500000US08017,8017,"Cheyenne County, Colorado",2194,2010
254,0500000US08019,8019,"Clear Creek County, Colorado",9088,2010
255,0500000US08021,8021,"Conejos County, Colorado",8220,2010
256,0500000US08023,8023,"Costilla County, Colorado",3536,2010
257,0500000US08025,8025,"Crowley County, Colorado",5897,2010
258,0500000US08027,8027,"Custer County, Colorado",3899,2010
259,0500000US08029,8029,"Delta County, Colorado",30533,2010
260,0500000US08031,8031,"Denver County, Colorado",578087,2010
261,0500000US08033,8033,"Dolores County, Colorado",2027,2010
262,0500000US08035,8035,"Douglas County, Colorado",273440,2010
263,0500000US08037,8037,"Eagle County, Colorado",50793,2010
264,0500000US08039,8039,"Elbert County, Colorado",22712,2010
265,0500000US08041,8041,"El Paso County, Colorado",599988,2010
266,0500000US08043,8043,"Fremont County, Colorado",46941,2010
267,0500000US08045,8045,"Garfield County, Colorado",54761,2010
268,0500000US08047,8047,"Gilpin County, Colorado",5126,2010
269,0500000US08049,8049,"Grand County, Colorado",14526,2010
270,0500000US08051,8051,"Gunnison County, Colorado",15136,2010
271,0500000US08053,8053,"Hinsdale County, Colorado",489,2010
272,0500000US08055,8055,"Huerfano County, Colorado",6948,2010
273,0500000US08057,8057,"Jackson County, Colorado",1464,2010
274,0500000US08059,8059,"Jefferson County, Colorado",528614,2010
275,0500000US08061,8061,"Kiowa County, Colorado",1643,2010
276,0500000US08063,8063,"Kit Carson County, Colorado",8156,2010
277,0500000US08065,8065,"Lake County, Colorado",7039,2010
278,0500000US08067,8067,"La Plata County, Colorado",50149,2010
279,0500000US08069,8069,"Larimer County, Colorado",291162,2010
280,0500000US08071,8071,"Las Animas County, Colorado",15675,2010
281,0500000US08073,8073,"Lincoln County, Colorado",5476,2010
282,0500000US08075,8075,"Logan County, Colorado",22278,2010
283,0500000US08077,8077,"Mesa County, Colorado",142284,2010
284,0500000US08079,8079,"Mineral County, Colorado",1020,2010
285,0500000US08081,8081,"Moffat County, Colorado",13519,2010
286,0500000US08083,8083,"Montezuma County, Colorado",25279,2010
287,0500000US08085,8085,"Montrose County, Colorado",40266,2010
288,0500000US08087,8087,"Morgan County, Colorado",27911,2010
289,0500000US08089,8089,"Otero County, Colorado",18830,2010
290,0500000US08091,8091,"Ouray County, Colorado",4319,2010
291,0500000US08093,8093,"Park County, Colorado",16286,2010
292,0500000US08095,8095,"Phillips County, Colorado",4394,2010
293,0500000US08097,8097,"Pitkin County, Colorado",16389,2010
294,0500000US08099,8099,"Prowers County, Colorado",12734,2010
295,0500000US08101,8101,"Pueblo County, Colorado",156244,2010
296,0500000US08103,8103,"Rio Blanco County, Colorado",6494,2010
297,0500000US08105,8105,"Rio Grande County, Colorado",11926,2010
298,0500000US08107,8107,"Routt County, Colorado",22924,2010
299,0500000US08109,8109,"Saguache County, Colorado",6161,2010
300,0500000US08111,8111,"San Juan County, Colorado",752,2010
301,0500000US08113,8113,"San Miguel County, Colorado",7299,2010
302,0500000US08115,8115,"Sedgwick County, Colorado",2412,2010
303,0500000US08117,8117,"Summit County, Colorado",27105,2010
